loss,pr_auc,precision,recall,Brier Score,id
0.07962660491466522,0.972098171710968,0.95652174949646,0.7857142686843872,0.05633234977722168,1
0.09132140129804611,0.9584774971008301,1.0,0.7058823704719543,0.0752527117729187,2
0.18162842094898224,0.9222528338432312,1.0,0.39393940567970276,0.10381252318620682,3
0.09427499026060104,0.9657922387123108,0.8529411554336548,0.8055555820465088,0.06292353570461273,4
0.10132379829883575,0.973494827747345,0.953125,0.7176470756530762,0.06086225435137749,5
0.07198838889598846,0.9724518060684204,0.8787878751754761,0.8787878751754761,0.06475940346717834,6
0.08029298484325409,0.9821224808692932,0.9514563083648682,0.7596899271011353,0.05636937916278839,7
0.1036834567785263,0.9518228769302368,0.8125,0.8125,0.07369459420442581,8
0.10450563579797745,0.9529085159301758,0.9347826242446899,0.5657894611358643,0.084793820977211,9
0.10146258026361465,0.9709166884422302,0.7777777910232544,0.9100000262260437,0.0865066796541214,10
