loss,pr_auc,precision,recall,Brier Score,F1,id
0.321916401386261,0.9301658272743225,0.800000011920929,0.0714285746216774,0.1438787430524826,[0.6666667],1
0.0668112188577652,0.986159086227417,0.8823529481887817,0.8823529481887817,0.03990882262587547,[0.5074627],2
2.5259196758270264,0.8752678632736206,0.261904776096344,1.0,0.6040251851081848,[0.4],3
0.058135561645030975,0.9845679402351379,0.8571428656578064,0.8333333134651184,0.060366060584783554,[0.40223464],4
0.1102445051074028,0.9433218240737915,0.9473684430122375,0.42352941632270813,0.10332106053829193,[0.4009434],5
0.05446753650903702,0.9862259030342102,0.9117646813392639,0.939393937587738,0.052902624011039734,[0.4203822],6
0.06593115627765656,0.9831439852714539,0.8299319744110107,0.9457364082336426,0.05918349698185921,[0.41680127],7
0.16407480835914612,0.9296875,0.6666666865348816,0.875,0.10409414768218994,[0.4102564],8
0.07332909107208252,0.9793397188186646,0.9354838728904724,0.7631579041481018,0.06400275230407715,[0.47798744],9
0.1678137183189392,0.9291833639144897,0.9285714030265808,0.5199999809265137,0.09129374474287033,[0.4736842],10
